2 1:0.008484848484848486 2:-2670.2 3:-34.4 4:-24.2 5:1.0 6:0.0476555023923445 7:0.056140350877192984 8:0.028516746411483253 9:0.0 10:0.030877192982456142 11:-2397.6 12:-55.6 13:-265.8 14:-8.8 15:0.09454545454545454 16:0.06902711323763955 17:0.3367145135566188 18:0.015821371610845295 19:0.014354066985645933 20:-2617.0 21:-2.2 22:-99.0 23:-9.6 24:0.009569377990430622 25:0.006443381180223286 26:0.12625199362041467 27:0.015119617224880384 28:0.024101777266334227 29:-2630.4 30:-16.0 31:-259.6 32:-16.0 33:0.026467203682393557 34:0.024101777266334227 35:0.3209308272599412 36:0.02454929037207518 37:0.012722158291778545 38:-2790.2 39:-17.8 40:-113.2 41:-0.8 42:0.06987597493926608 43:0.025188594808847973 44:0.158036056770234 45:0.002237565528704769 46:0.016941567574478966 47:-2736.0 48:-70.4 49:-113.6 50:-2.0 51:0.0578570515279376 52:0.0985807441503644 53:0.1398798107658867 54:0.005689809487277842 55:4.7982734122226 56:-4.146385008187846 57:0.018271531420430948
2 1:0.008181594488188976 2:-2760.8 3:-35.2 4:-19.6 5:-2.8 6:0.041215551181102365 7:0.045890748031496065 8:0.01827017716535433 9:0.006213090551181103 10:0.029281496062992126 11:-2431.8 12:-22.2 13:-355.2 14:-9.2 15:0.06662155511811024 16:0.025713582677165354 17:0.4482652559055118 18:0.01513287401574803 19:0.010027066929133858 20:-2728.8 21:-1.6 22:-79.2 23:-8.8 24:0.008550688976377953 25:0.0036909448818897637 26:0.09645669291338582 27:0.01734744094488189 28:0.023668639053254437 29:-2723.4 30:-8.8 31:-285.6 32:-14.2 33:0.019785502958579882 34:0.010663214990138068 35:0.3447978303747535 36:0.026072485207100593 37:0.010355029585798817 38:-2921.2 39:-8.2 40:-99.8 41:-2.8 42:0.05097386587771203 43:0.009122287968441814 44:0.13831360946745563 45:0.00622534516765286 46:0.013498520710059171 47:-2880.2 48:-47.2 49:-100.8 50:-3.8 51:0.053131163708086786 52:0.0621301775147929 53:0.11889792899408284 54:0.0064718934911242604 55:5.300133275907529 56:-4.442342650071554 57:0.016139248156988906
2 1:0.006062307044625316 2:-3111.4 3:-15.399999999999999 4:-1.2000000000000002 5:1.0 6:0.07033398821218075 7:0.01959023294976144 8:0.0014594442885209093 9:0.0 10:0.028290766208251474 11:-2724.4 12:-19.4 13:-366.0 14:-17.2 15:0.076789222565254 16:0.019814762840303115 17:0.4217793993825428 18:0.022958181307886613 19:0.007746281223687903 20:-3047.2 21:-0.6000000000000001 22:-64.0 23:-15.2 24:0.0067920291888857705 25:0.001908504069604266 26:0.06444007858546169 27:0.025259612685938817 28:0.02048677012392542 29:-3075.0 30:-4.6 31:-256.4 32:-26.0 33:0.025678240482304344 34:0.006084626549067768 35:0.26727699006363737 36:0.038740649771128725 37:0.010215473931003685 38:-3236.8 39:-8.8 40:-117.4 41:1.0 42:0.06614938037289271 43:0.008708272859216255 44:0.15027352908339847 45:0.0 46:0.01261583119347996 47:-3232.4 48:-23.4 49:-97.6 50:-8.6 51:0.07424360835101038 52:0.027632019649436197 53:0.1109746566930892 54:0.01071787428826616 55:4.816995610545866 56:-6.01493535616042 57:0.0146495656482526
2 1:0.005607922682257487 2:-2835.0 3:-23.4 4:-8.6 5:1.0 6:0.03901682376804677 7:0.03394582985323947 8:0.007755637752058227 9:0.0 10:0.03173845603149982 11:-2428.4 12:-19.6 13:-415.2 14:-2.8 15:0.07254504235771388 16:0.025891898341486697 17:0.5741558286600644 18:0.00530962892256294 19:0.008053931511752774 20:-2775.2 21:-3.0 22:-77.4 23:-10.4 24:0.006801097721035676 25:0.003937477627968023 26:0.09682615439685002 27:0.01592888676768882 28:0.01970880681818182 29:-2861.6 30:-11.4 31:-266.4 32:-15.0 33:0.020478219696969696 34:0.012073863636363636 35:0.32469223484848486 36:0.022017045454545456 37:0.011955492424242424 38:-2992.0 39:-29.6 40:-133.8 41:1.0 42:0.02130681818181818 43:0.04421164772727273 44:0.19016335227272727 45:0.0 46:0.01337594696969697 47:-3015.4 48:-7.199999999999999 49:-132.0 50:0.19999999999999996 51:0.08735795454545454 52:0.009647253787878788 53:0.19010416666666666 54:0.001065340909090909 55:6.584361138329758 56:-3.1021560207278487 57:0.015309901258728933
2 1:0.006290672451193058 2:-2352.8 3:-6.2 4:-14.4 5:1.0 6:0.06753434562545192 7:0.009472161966738973 8:0.023065798987707883 9:0.0 10:0.032465654374548084 11:-2032.4 12:-13.8 13:-321.6 14:-4.6 15:0.09370932754880694 16:0.019739696312364424 17:0.4761388286334056 18:0.009399855386840203 19:0.008893709327548807 20:-2279.6 21:-2.8 22:-83.0 23:-7.0 24:0.0059291395516992045 25:0.004049168474331164 26:0.12263195950831526 27:0.01005061460592914 28:0.021350762527233117 29:-2295.0 30:-8.0 31:-244.2 32:-11.6 33:0.017719680464778505 34:0.011183732752360204 35:0.3363108206245461 36:0.01728395061728395 37:0.011474219317356572 38:-2441.0 39:-3.4000000000000004 40:-115.4 41:1.0 42:0.06129266521423384 43:0.00551924473493101 44:0.18729121278140887 45:0.0 46:0.014887436456063908 47:-2446.4 48:-13.2 49:-98.6 50:-0.6000000000000001 51:0.10341321713870734 52:0.020697167755991286 53:0.15076252723311548 54:0.002904865649963689 55:5.1242114748993295 56:-3.897645048528866 57:0.016235974353844287
2 1:0.00778236914600551 2:-2459.2 3:-0.19999999999999996 4:-32.8 5:0.19999999999999996 6:0.08443526170798898 7:0.001446280991735537 8:0.039325068870523415 9:0.0012396694214876034 10:0.030991735537190084 11:-2150.8 12:-12.2 13:-309.0 14:-20.0 15:0.07561983471074381 16:0.020179063360881544 17:0.4299586776859504 18:0.02982093663911846 19:0.00977961432506887 20:-2399.2 21:-0.8 22:-85.2 23:-6.8 24:0.009848484848484848 25:0.0030303030303030303 26:0.11584022038567493 27:0.014600550964187328 28:0.02443519213705549 29:-2399.6 30:-4.6 31:-309.2 32:-14.4 33:0.019452597092348645 34:0.00709849157054126 35:0.40167906627533956 36:0.027233635929288104 37:0.01112552044229063 38:-2623.0 39:-6.4 40:-99.4 41:1.0 42:0.07043887789229404 43:0.012627124428366665 44:0.14702068118217188 45:0.0 46:0.012490614975087026 47:-2629.4 48:-3.2 49:-82.4 50:-12.8 51:0.0885946351784861 52:0.006074670670943963 53:0.1133711009487407 54:0.01760971947307351 55:5.384981401208181 56:-9.501193151528149 57:0.016208774759686417
2 1:0.010644677661169416 2:-2228.6 3:-0.6000000000000001 4:-36.8 5:-10.0 6:0.12263868065967017 7:0.002848575712143928 8:0.04032983508245877 9:0.019715142428785606 10:0.036506746626686654 11:-1913.6 12:-14.0 13:-334.8 14:-13.6 15:0.12751124437781108 16:0.02406296851574213 17:0.47496251874062967 18:0.0260119940029985 19:0.011169415292353824 20:-2193.6 21:-2.8 22:-72.0 23:-7.6 24:0.009895052473763119 25:0.0047976011994002995 26:0.11056971514242879 27:0.01431784107946027 28:0.02651942002854782 29:-2178.4 30:-6.4 31:-260.8 32:-23.8 33:0.03057621516039366 34:0.00878972278566599 35:0.35196454060551424 36:0.043272481406355645 37:0.016377432198933214 38:-2323.0 39:-9.0 40:-133.8 41:-3.5999999999999996 42:0.09826459319359927 43:0.014499286304560138 44:0.20261437908496732 45:0.007287206070167531 46:0.015475922169634138 47:-2375.0 48:-4.6 49:-83.4 50:-6.4 51:0.16046878521523553 52:0.012245511231312449 53:0.11802268800240402 54:0.015250544662309368 55:5.324743510810837 56:-8.413216934494637 57:0.01975531693869675
2 1:0.007852965747702589 2:-2032.2 3:0.4 4:-18.2 5:0.0 6:0.11403508771929824 7:0.001086048454469507 8:0.024728487886382624 9:5.847953216374269E-4 10:0.03241436925647452 11:-1770.4 12:-11.8 13:-255.2 14:-12.6 15:0.1277360066833751 16:0.018128654970760234 17:0.4058479532163743 18:0.025647451963241436 19:0.012280701754385965 20:-1939.2 21:-0.3999999999999999 22:-104.6 23:-5.8 24:0.005346700083542189 25:0.002172096908939014 26:0.18070175438596492 27:0.012949039264828738 28:0.026109229116747915 29:-1955.0 30:-7.0 31:-258.2 32:-20.4 33:0.01925142526646286 34:0.010162769561265802 35:0.3940345368916798 36:0.037759233247955055 37:0.011071635131785508 38:-2166.8 39:-2.0 40:-72.8 41:1.0 42:0.08692059819879369 43:0.003718086424853342 44:0.1259191935883665 45:0.0 46:0.014954969842187887 47:-2155.4 48:-5.6 49:-75.8 50:-3.8 51:0.15921672312649757 52:0.010658514417912913 53:0.1250103280178468 54:0.007188300421383128 55:4.42841554029552 56:-10.40771131249006 57:0.017591220575181764
2 1:0.011515151515151515 2:-2460.8 3:-5.6 4:-71.4 5:-11.4 6:0.08316498316498316 7:0.007474747474747475 8:0.07878787878787878 9:0.01616161616161616 10:0.030505050505050504 11:-2311.4 12:-22.2 13:-210.8 14:-4.8 15:0.1290909090909091 16:0.0331986531986532 17:0.2496969696969697 18:0.008619528619528619 19:0.012794612794612794 20:-2455.0 21:-3.2 22:-89.2 23:-1.7999999999999998 24:0.02410774410774411 25:0.003367003367003367 26:0.1290909090909091 27:0.003905723905723906 28:0.032279314888010543 29:-2455.8 30:-20.0 31:-330.8 32:-23.0 33:0.06488801054018445 34:0.02707509881422925 35:0.41172595520421607 36:0.03168642951251647 37:0.011989459815546772 38:-2721.0 39:-7.800000000000001 40:-101.6 41:0.8 42:0.07733860342555995 43:0.011133069828722003 44:0.14288537549407115 45:2.6350461133069827E-4 46:0.013899868247694335 47:-2708.2 48:-9.4 49:-111.0 50:-1.0 51:0.10955204216073781 52:0.011923583662714097 53:0.13926218708827404 54:0.003227931488801054 55:5.389827036075175 56:-4.443502671522503 57:0.01978349831793644
2 1:0.01515921409214092 2:-1851.8 3:-14.0 4:-79.6 5:-2.6 6:0.08087737127371274 7:0.02676151761517615 8:0.11212737127371274 9:0.006944444444444444 10:0.03853319783197832 11:-1655.6 12:-12.4 13:-275.6 14:-4.4 15:0.10882452574525746 16:0.023458672086720866 17:0.4581639566395664 18:0.010755420054200542 19:0.013465447154471545 20:-1844.6 21:-17.6 22:-83.4 23:-2.4 24:0.013211382113821139 25:0.032520325203252036 26:0.14312330623306233 27:0.007621951219512195 28:0.037574159525379035 29:-1845.2 30:-15.399999999999999 31:-364.0 32:-11.4 33:0.04787409360580092 34:0.027851021753460777 35:0.5835530652603823 36:0.026450230718523402 37:0.011947923533289388 38:-2145.2 39:-7.4 40:-84.0 41:0.6 42:0.05817402768622281 43:0.011371127224785761 44:0.15301582069874753 45:4.943968358602505E-4 46:0.016397495056031643 47:-2116.4 48:-28.8 49:-90.0 50:-0.8 51:0.10332893869479236 52:0.051334871456822674 53:0.1422214897824654 54:0.00486156888595913 55:6.657661084535032 56:0.3536731592464612 57:0.022548755816464622
2 1:0.008395802098950524 2:-2135.8 3:-6.2 4:-42.6 5:-0.19999999999999996 6:0.06904047976011994 7:0.012518740629685157 8:0.05584707646176912 9:0.0014992503748125937 10:0.032458770614692656 11:-1904.8 12:-5.4 13:-272.4 14:-2.2 15:0.057796101949025486 16:0.008095952023988006 17:0.4535982008995502 18:0.005172413793103448 19:0.015892053973013492 20:-2067.2 21:-0.6000000000000001 22:-112.0 23:-5.0 24:0.004047976011994003 25:0.0017991004497751124 26:0.17533733133433282 27:0.008470764617691154 28:0.02553663952627683 29:-2171.8 30:-3.2 31:-306.4 32:-9.4 33:0.016728349370836417 34:0.0044411547002220575 35:0.43427091043671356 36:0.015099925980754996 37:0.014433752775721688 38:-2341.8 39:-6.0 40:-144.0 41:1.0 42:0.05610658771280533 43:0.011028867505551444 44:0.2639526276831976 45:0.0 46:0.01606217616580311 47:-2345.6 48:-8.4 49:-134.0 50:-2.8 51:0.07461139896373056 52:0.0153960029607698 53:0.24300518134715027 54:0.005847520355292376 55:8.335185679447044 56:-3.588762960380087 57:0.019126183385233045
